company,heading,position,image,employees,link,website,social_links,location,company_size,total_raised,skills,founders,founder_links,funding,culture
Catalyte                           ,Software Engineering services                                                                         ,Lead Solutions Developer (Microsoft-centric)                 ,https://photos.angel.co/startups/i/4362986-2aa6c852d09015fd35c3d352e5a1bff2-medium_jpg.jpg,501-1000 employees ,https://angel.co/company/catalyte-io              ,https://catalyte.io/                                                     ,"['https://catalyte.io/blog.html', 'https://twitter.com/catalyte_io', 'https://www.facebook.com/catalyte.io', 'https://www.linkedin.com/company/catalyteio/']                                                                                                                                 ",['Baltimore']                                        ,501-1000 people ,$27                                                                             ,"['Engineering Services', 'Professional Services & Advisory', 'Private Company', 'Artificial Intelligence', 'Artificial Intelligence', 'Predictive Analytics', 'Consulting Services', 'Software Engineering']                                                                                       ",                                                ,                                                                                       ,                                                ,
Trustworthy                        ,The Family Operating System®                                                                          ,Full Stack Software Engineer (Django / React)                ,https://photos.angel.co/startups/i/7746962-29c2c18b072d82c04580db6e249deb75-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/trustworthyco            ,https://www.trustworthy.com                                              ,"['https://www.trustworthy.com/blog', 'https://twitter.com/trustworthy_app', 'https://www.facebook.com/trustworthyforlife/', 'https://www.linkedin.com/company/trustworthyco']                                                                                                                ","['Canada', 'Europe', 'South America']              ",11-50 people    ,$19.9M                                                                          ,"['SaaS', 'Information Services', 'Personal Finance', 'Personal Data', 'Data Security', 'Private Social Networking', 'Estate Planning']                                                                                                                                                             ","['Nat Robinson', 'Dan McCool']                ","['https://angel.co/u/natrobinson', 'https://angel.co/u/demcee']                      ","['$19.9M', '2 rounds', 'Series A (Mar 2022)'] ","['Healthcare benefits', 'Equity benefits', 'Fully remote', 'Generous time off', 'Birthdays off!']"
YipitData                          ,A remote-first company with employees across the globe. Inc's Best Workplaces 2020~2022               ,Fullstack Engineer                                           ,https://photos.angel.co/startups/i/781135-8cf692a975990d53686b4596d17b25ab-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/yipitdata                ,https://yipitdata.com/                                                   ,"['https://twitter.com/yipitdata', 'https://www.linkedin.com/company/yipitdata/']                                                                                                                                                                                                             ","['New York City', 'New York', 'Remote']            ",201-500 people  ,$492M                                                                           ,"['Information Technology', 'Consumer Financial Services', 'Online Research', 'Business Analytics', 'Financial Services', 'Analytics', 'Software', 'Finance Technology', 'Data', 'Fin Tech']                                                                                                        ","['Vinicius Vacanti', 'Jim Moran']             ","['https://angel.co/p/vacanti', 'https://angel.co/p/jdmoran']                         ","['$492M', '4 rounds', 'Series E (Dec 2021)']  ","['The basics & more', 'Your personal life', 'The basics & more']"
WorkSpan                           ,"The first Ecosystem Cloud to build-with, market-with & sell-with your strategic partners            ",Backend Engineer (Remote - Europe)                           ,https://photos.angel.co/startups/i/947453-2bb26f4b738c975d22632647b79f821c-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/workspan                 ,https://www.workspan.com/                                                ,"['https://www.workspan.com/blog/', 'http://twitter.com/workspan', 'http://www.facebook.com/workspan', 'https://www.linkedin.com/company/workspan/']                                                                                                                                          ","['Europe', 'India', 'San Francisco Bay Area']      ",51-200 people   ,$30M                                                                            ,"['SaaS', 'Enterprise Software Company', 'Enterprise Software', 'Sales and Marketing', 'Sales', 'Partnerships']                                                                                                                                                                                     ",                                                ,                                                                                       ,                                                ,
Nextdoor                           ,Nextdoor is the private social network for your neighborhood                                          ,Software Engineer                                            ,https://photos.angel.co/startups/i/50223-287035c9402a7410c27432d7336c1e67-medium_jpg.jpg  ,501-1000 employees ,https://angel.co/company/nextdoor                 ,http://nextdoor.com                                                      ,"['http://blog.nextdoor.com', 'http://twitter.com/nextdoor', 'https://www.linkedin.com/company/1916708?trk=vsrp_companies_res_name&trkinfo=vsrpsearchid%3a2831657481438906701831%2cvsrptargetid%3a1916708%2cvsrpcmpt%3aprimary']                                                              ",['San Francisco']                                    ,501-1000 people ,$333.2M                                                                         ,"['Startup', 'Digital Media', 'Social Media', 'Internet', 'Communities', 'Privacy', 'Private Social Networking', 'Edtech', 'Adtech']                                                                                                                                                                ",                                                ,                                                                                       ,                                                ,
Included Health                    ,Our mission is to raise the standard of healthcare for everyone                                       ,"Senior Backend Engineer, Care Delivery                     ",https://photos.angel.co/startups/i/152220-6bd28a428c45f51a36aab2068c124238-medium_jpg.jpg ,1001-5000 employees,https://angel.co/company/includedhealth           ,https://includedhealth.com                                               ,"['https://twitter.com/includedhealth', 'https://www.facebook.com/includedhealth', 'https://www.linkedin.com/company/includedhealth/']                                                                                                                                                        ","['Reno', 'San Francisco', 'Lewiston']              ",1001-5000 people,$349M                                                                           ,"['Startup', 'Healthcare Technology', 'Health Tech', 'Big Data', 'Enterprise Software Company', 'Software', 'Health And Medicine', 'Big Data Analytics', 'Enterprise Software', 'Healthcare', 'Medical', 'Health Care Information Technology', 'Big Data', 'Startups', 'Employer Benefits Programs']",                                                ,                                                                                       ,                                                ,
Vic.ai                             ,We are a rapidly growing US based global start-up with roots from Norway                              ,Senior Python Engineer                                       ,https://photos.angel.co/startups/i/8456798-8a09f27aa4be37e2a075444bcdc9fd89-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/vicai-1                  ,https://www.vic.ai/                                                      ,['https://www.linkedin.com/company/vic.ai/']                                                                                                                                                                                                                                                   ,"['United States', 'Norway', 'New York']            ",51-200 people   ,$52M                                                                            ,"['Artificial Intelligence', 'Machine Learning', 'Artificial Intelligence', 'Accounting', 'Artificial Intelligence / Machine Learning']                                                                                                                                                             ",['Corinne Bernstein']                           ,['https://angel.co/u/corinne-bernstein-1']                                             ,"['$52M', '1 round', 'Series C (Dec 2022)']    ",[]
Decentro                           ,Automated API platform for banking integrations                                                       ,Backend Developer                                            ,https://photos.angel.co/startups/i/7501016-0c17e0c0e8e935887f73dd63ff83a230-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/decentro                 ,https://decentro.tech/                                                   ,"['https://decentro.tech/blog/', 'https://twitter.com/decentrotech', 'https://facebook.com/decentro-104637704449006/', 'https://www.linkedin.com/company/decentro/']                                                                                                                          ","['Singapore', 'Bengaluru']                         ",11-50 people    ,$4.7M                                                                           ,"['Private Company', 'SaaS', 'Banking', 'Finance Technology', 'Fin Tech']                                                                                                                                                                                                                           ",['Rohit Taneja']                                ,['https://angel.co/p/sunnyrohit']                                                      ,"['$4.7M', '3 rounds', 'Series A (Nov 2022)']  ","['Health insurance with good coverage', 'Work from home friendly', 'Generous vacation', 'Bring along those cute little friends :) ', 'Device of your choice']"
Vic.ai                             ,We are a rapidly growing US based global start-up with roots from Norway                              ,Senior Python Engineer                                       ,https://photos.angel.co/startups/i/8456798-8a09f27aa4be37e2a075444bcdc9fd89-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/vicai-1                  ,https://www.vic.ai/                                                      ,['https://www.linkedin.com/company/vic.ai/']                                                                                                                                                                                                                                                   ,"['United States', 'Norway', 'New York']            ",51-200 people   ,$52M                                                                            ,"['Artificial Intelligence', 'Machine Learning', 'Artificial Intelligence', 'Accounting', 'Artificial Intelligence / Machine Learning']                                                                                                                                                             ",['Corinne Bernstein']                           ,['https://angel.co/u/corinne-bernstein-1']                                             ,"['$52M', '1 round', 'Series C (Dec 2022)']    ",[]
Chefling                           ,"The Smart Kitchen Assistant that helps you plan, shop, and cook great food                          ",Backend developer                                            ,https://photos.angel.co/startups/i/1105053-822039eb96fb744dc98d546dd0cd7fd5-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/chefling                 ,http://www.chefling.com                                                  ,['https://www.linkedin.com/company/chefling-inc/']                                                                                                                                                                                                                                             ,"['London', 'Bengaluru', 'San Francisco Bay Area']  ",11-50 people    ,$3.7M                                                                           ,"['Private Company', 'Mobile', 'Recipes', 'Internet of Things', 'Cooking', 'Smart Home']                                                                                                                                                                                                            ","['Amar Krishna', 'Quan Jeff Xie']             ","['https://angel.co/u/amar-krishna', 'https://angel.co/u/quan-jeff-xie']              ","['$3.7M', '5 rounds', 'Acquired (Jan 2023)']  ",[]
Doma                               ,Machine intelligence making residential real estate simple and efficient                              ,Senior Cloud Engineer                                        ,https://photos.angel.co/startups/i/3340279-8f6dcf5b09a2e5549c7725d1be292dca-medium_jpg.jpg,1001-5000 employees,https://angel.co/company/doma                     ,http://www.doma.com                                                      ,"['https://statestitle.com/data-science-blog/', 'https://www.linkedin.com/company/domahq/mycompany/']                                                                                                                                                                                         ",['San Francisco']                                    ,1001-5000 people,$216.6M                                                                         ,"['Real Estate', 'Financial Services', 'Machine Learning', 'Artificial Intelligence', 'Insurance', 'Finance Technology', 'Real Estate Technology', 'Fin Tech', 'Insurtech']                                                                                                                         ",['Max Simkoff']                                 ,['https://angel.co/p/max-simkoff']                                                     ,"['$216.6M', '5 rounds', 'Series C (May 2020)']","['Comprehensive health & wellness', 'Retirement benefits', 'Equity benefits', 'Work-life flexibility', 'Career development']"
Zuddl                              ,Zuddl is an early-stage startup helping organizations run high-impact virtual events                  ,Senior Software Developer - Testing                          ,https://photos.angel.co/startups/i/8048269-8de12e69cd3bc5e5852cc8f73d5ad1b4-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/wearezuddl               ,https://www.zuddl.com                                                    ,"['https://www.zuddl.com/blog', 'https://www.linkedin.com/company/zuddl/']                                                                                                                                                                                                                    ","['San Francisco', 'Hyderabad', 'Remote']           ",51-200 people   ,$15M                                                                            ,"['Startup', 'Video', 'Events']                                                                                                                                                                                                                                                                     ",['Vedha Sayyaparaju']                           ,['https://angel.co/u/vedha-sayyaparaju-1']                                             ,"['$15M', '2 rounds', 'Series A (Jan 2022)']   ","['Healthcare benefits', 'Work from home friendly', 'Remote friendly', 'Flexi leaves']"
Memfault                           ,Empowering IoT device developers to build more reliable software                                      ,Embedded Linux Solution Engineer                             ,https://photos.angel.co/startups/i/6860427-6699082eca95ab94f40ea28b5f337913-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/memfault-inc             ,https://memfault.com                                                     ,"['https://interrupt.memfault.com', 'https://twitter.com/memfault', 'https://www.linkedin.com/company/memfault/']                                                                                                                                                                             ","['Boston', 'San Francisco', 'Berlin']              ",11-50 people    ,$11M                                                                            ,"['SaaS', 'Internet Of Things', 'Software', 'Software Development', 'Consumer Electronics', 'Industrial Automation', 'Embedded Hardware and Software', 'Developer Tools', 'Internet of Things', 'Smart Building', 'Hardware + Software', 'Home Automation', 'Smart City', 'Smart Home']             ",                                                ,                                                                                       ,                                                ,
Clockwise                          ,We're on a mission to help the world make time for what matters                                       ,Senior Infrastructure Engineer                               ,https://photos.angel.co/startups/i/2689688-0384d6cb9f03a6a55a93991fb4902f66-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/getclockwise             ,https://www.getclockwise.com/                                            ,"['https://www.getclockwise.com/blog', 'https://twitter.com/getclockwise', 'https://www.facebook.com/getclockwise/', 'https://www.linkedin.com/company/clockwise-inc./', 'https://www.producthunt.com/posts/clockwise-40a78b18-762b-45f2-8cf8-1bc5e76f86ab']                                  ",['San Francisco']                                    ,51-200 people   ,$74.3M                                                                          ,"['Enterprise Software', 'Productivity Software', 'Communications Software', 'Collaboration Software']                                                                                                                                                                                              ",                                                ,                                                                                       ,                                                ,
EasyPost                           ,Shipping for Developers                                                                               ,Infrastructure Staff Engineer                                ,https://photos.angel.co/startups/i/131299-9de70aedc6324e17d8b6b2e4f7e33d7f-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/easypost                 ,http://easypost.com                                                      ,"['https://www.easypost.com/blog', 'https://twitter.com/easypost', 'https://www.facebook.com/easypostco', 'http://www.linkedin.com/company/easypost', 'https://www.producthunt.com/posts/easypost']                                                                                           ",['San Francisco']                                    ,201-500 people  ,$12.2M                                                                          ,"['Enterprise Software', 'Developer APIs', 'Developer Tools', 'Web Tools']                                                                                                                                                                                                                          ",['Jarrett Streebin']                            ,['https://angel.co/u/jjjrrrttt']                                                       ,"['$12.2M', '3 rounds', 'Series A (May 2017)'] ","['Healthcare', 'Flexible vacation', 'Contributions', 'Compensation', 'Team']"
LIBLAB                             ,SDK as-a-service                                                                                      ,Senior Software engineer - US timezone                       ,https://photos.angel.co/startups/i/8715781-b51ecc57639bd42526a965f8073f7d24-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/liblab                   ,https://liblab.com                                                       ,"['https://liblab.com/blog', 'https://twitter.com/liblaber', 'https://linkedin.com/company/liblaber']                                                                                                                                                                                         ","['United States', 'Remote']                        ",11-50 people    ,$50M                                                                            ,"['SaaS', 'Developer Tools']                                                                                                                                                                                                                                                                        ",                                                ,                                                                                       ,                                                ,
Bodo                               ,Parallel Computing for Extreme-Performance Python Data Analytics                                      ,Technical Product Manager                                    ,https://photos.angel.co/startups/i/7046600-661955f883c92c008b9902604ba8efb2-medium_jpg.jpg,11-50 employees    ,https://angel.co/company/bodoai                   ,https://www.bodo.ai/                                                     ,"['https://bodo.ai/blog/', 'https://twitter.com/bodo_ai', 'https://www.linkedin.com/company/bodoai']                                                                                                                                                                                          ","['Pittsburgh', 'San Francisco Bay Area']           ",11-50 people    ,Startup                                                                         ,"['Startup', 'Enterprise Software', 'Big Data', 'Artificial Intelligence', 'Big Data Analytics', 'Python']                                                                                                                                                                                          ","['Behzad Nasre', 'Ehsan Totoni']              ","['https://angel.co/u/behzad-nasre-1', 'https://angel.co/u/ehsan-totoni']             ","['1 round', 'Series A (Aug 2021)']            ",[]
Newsela                            ,The best lessons start with the best content                                                          ,Lead Web Application Developer                               ,https://photos.angel.co/startups/i/238628-136d679c0537eb539dc631acb8c6a386-medium_jpg.jpg ,201-500 employees  ,https://angel.co/company/newsela                  ,http://newsela.com                                                       ,"['https://blog.newsela.com', 'https://twitter.com/newsela', 'http://www.facebook.com/newsela', 'https://www.linkedin.com/company/newsela?trk=company_logo', 'https://www.producthunt.com/posts/newsela']                                                                                     ","['New York City', 'Mountain View', 'New York']     ",201-500 people  ,$70.3M                                                                          ,"['SaaS', 'Education', 'Language Learning', 'News', 'K-12 Education', 'Edtech', 'E Learn']                                                                                                                                                                                                          ","['Matthew Gross', 'Dan Cogan-Drew']           ","['https://angel.co/p/matthew-gross-2', 'https://angel.co/p/dan-cogan-drew']          ","['$70.3M', '4 rounds', 'Series C (Mar 2019)'] ","['One medical membership', 'Health insurance benefits', 'Unlimited pto', 'Bike share programs', 'Newselau']"
Iterative                          ,Open-source and SaaS developer tools for ML and MLOps                                                 ,"Senior Software Engineer (DevTools, Python)                ",https://photos.angel.co/startups/i/6008459-a401b79e48f5d0fa2a2ebba7879c87e2-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/iterativeai              ,https://iterative.ai                                                     ,"['https://iterative.ai/blog', 'https://twitter.com/iterativeai', 'https://www.linkedin.com/company/iterative-ai/']                                                                                                                                                                           ",['San Francisco']                                    ,51-200 people   ,$25M                                                                            ,"['Software', 'Open Source', 'Machine Learning', 'Developer Tools', 'Data']                                                                                                                                                                                                                         ","['Dmitry Petrov', 'Ivan Shcheklein']          ","['https://angel.co/u/dmpetrov', 'https://angel.co/u/shcheklein']                     ","['$25M', '3 rounds', 'Series A (Jun 2021)']   ","['Great health coverage', 'Retirement benefits', 'Work wherever you want', 'Work whenever you want', 'Open-source your code']"
Sure                               ,The complexities of digital insurance software – simplified                                           ,Senior DevOps Engineer                                       ,https://photos.angel.co/startups/i/511388-62db082e7e6fda49d42648f8734f71b3-medium_jpg.jpg ,51-200 employees   ,https://angel.co/company/sure                     ,http://www.sureapp.com/                                                  ,"['https://twitter.com/surehq', 'https://www.facebook.com/surehq', 'https://www.linkedin.com/company/sure-insurance']                                                                                                                                                                         ","['Los Angeles', 'United States', 'Remote']         ",51-200 people   ,$123.1M                                                                         ,"['Internet', 'Insurance', 'Software', 'Insurance Companies', 'Property And Casualty Insurance Companies', 'Insurtech']                                                                                                                                                                             ",['Wayne Slavin']                                ,['https://angel.co/u/wayneslavin']                                                     ,"['$550M', '4 rounds', 'Series C (Oct 2021)']  ","['Medical, dental and vision', '401k', 'Remote forward ']"
Jalopeura                          ,Our Vision “To make the positive difference in the lives of those around us”                          ,Associate Full Stack Web Developer                           ,https://photos.angel.co/startups/i/6882351-9665de08bb9b3213b138fc249b0ddaf1-medium_jpg.jpg,51-200 employees   ,https://angel.co/company/imjalopeura              ,https://www.jalopeura.me                                                 ,"['https://medium.com/@imjalopeura', 'https://twitter.com/imjalopeura', 'http://facebook.com/imjalopeura', 'https://in.linkedin.com/company/imjalopeura', 'https://www.producthunt.com/posts/parcin']                                                                                         ","['Pune', 'Remote']                                 ",51-200 people   ,$10M                                                                            ,"['Startup', 'Internet', 'Analytics', 'Security', 'Machine Learning', 'Natural Language Processing', 'Mobile Application', 'Analytics / Data']                                                                                                                                                      ",['Ajiet Degaonkar']                             ,['https://angel.co/u/ajiet-degaonkar']                                                 ,"['$10M', '1 round', 'Series A (Mar 2022)']    ",['Work from home flexible hours']
